
Image Name                     PID Session Name        Session#    Mem Usage
svchost.exe                   8888 Services                   0      5,480 K
svchost.exe                   8964 Services                   0      1,396 K
svchost.exe                   9388 Services                   0      5,284 K
svchost.exe                  10256 Services                   0     24,016 K
svchost.exe                  10464 Services                   0     12,924 K
svchost.exe                  10856 Services                   0     17,468 K
svchost.exe                  11652 Services                   0     17,956 K
svchost.exe                  15076 Services                   0     10,656 K
svchost.exe                  14684 Services                   0     15,504 K
SecurityHealthService.exe    11324 Services                   0     13,976 K
svchost.exe                  16100 Services                   0     21,884 K
svchost.exe                  16992 Services                   0      4,308 K
svchost.exe                  16340 Services                   0      6,772 K
svchost.exe                  18148 Services                   0     19,612 K
svchost.exe                  17248 Services                   0      5,240 K
svchost.exe                  17872 Services                   0      5,712 K
svchost.exe                  10844 Services                   0     29,016 K
svchost.exe                   3884 Services                   0      2,928 K
wslservice.exe                2344 Services                   0      9,004 K
vmcompute.exe                19108 Services                   0      2,408 K
svchost.exe                  26164 Services                   0      2,536 K
svchost.exe                   7984 Services                   0      1,920 K
svchost.exe                  26788 Services                   0     12,288 K
svchost.exe                  14112 Services                   0      1,644 K
svchost.exe                  12480 Services                   0      1,788 K
svchost.exe                  12796 Services                   0      6,728 K
svchost.exe                  28484 Services                   0      3,176 K
svchost.exe                   5376 Services                   0      3,952 K
svchost.exe                   7212 Services                   0      3,596 K
svchost.exe                   1188 Services                   0      2,356 K
svchost.exe                  14776 Services                   0      2,156 K
svchost.exe                  15784 Services                   0      2,924 K
svchost.exe                   3460 Services                   0      5,016 K
servicehost.exe              21428 Services                   0     31,132 K
dasHost.exe                  13136 Services                   0      1,108 K
dasHost.exe                  33980 Services                   0      9,912 K
dasHost.exe                   9720 Services                   0      1,544 K
OfficeClickToRun.exe         21656 Services                   0     25,240 K
SearchIndexer.exe            31800 Services                   0     69,976 K
svchost.exe                  26228 Services                   0     18,856 K
mysqld.exe                   24696 Services                   0      1,768 K
mysqld.exe                    1896 Services                   0      5,008 K
conhost.exe                  26868 Services                   0      2,088 K
wlanext.exe                   9916 Services                   0      4,160 K
Intel_PIE_Service.exe         1728 Services                   0      3,232 K
csrss.exe                    28812 Console                   20      4,928 K
winlogon.exe                 23532 Console                   20      8,776 K
fontdrvhost.exe              28724 Console                   20      3,740 K
dwm.exe                       8880 Console                   20   1,24,592 K
ipf_helper.exe                4908 Console                   20      4,060 K
uihost.exe                   19336 Console                   20     19,964 K
mc-fw-host.exe               21672 Console                   20     13,956 K
sihost.exe                   19888 Console                   20     34,608 K
svchost.exe                  25536 Console                   20      4,252 K
svchost.exe                  31952 Console                   20     21,092 K
svchost.exe                  25956 Console                   20      2,912 K
svchost.exe                   8580 Console                   20     31,180 K
taskhostw.exe                10012 Console                   20     16,516 K
explorer.exe                  5660 Console                   20   3,06,980 K
ShellHost.exe                31004 Console                   20     10,528 K
CrossDeviceResume.exe         3276 Console                   20     16,872 K
svchost.exe                  12436 Console                   20     14,152 K
svchost.exe                  34672 Services                   0      4,848 K
svchost.exe                  32108 Console                   20      6,108 K
SearchHost.exe                3144 Console                   20   1,00,336 K
StartMenuExperienceHost.e     9996 Console                   20   1,43,036 K
CrossDeviceService.exe       33224 Console                   20     86,656 K
RuntimeBroker.exe            22900 Console                   20     54,744 K
svchost.exe                   5096 Console                   20     18,644 K
Widgets.exe                  22268 Console                   20     30,588 K
WidgetService.exe             7892 Console                   20      9,144 K
msedgewebview2.exe           36244 Console                   20     75,904 K
msedgewebview2.exe           18040 Console                   20      3,564 K
msedgewebview2.exe           31368 Console                   20     31,188 K
msedgewebview2.exe            2720 Console                   20     72,452 K
msedgewebview2.exe           29096 Console                   20      9,396 K
msedgewebview2.exe           10684 Console                   20   1,04,048 K
ctfmon.exe                   24300 Console                   20     23,276 K
LockApp.exe                  22452 Console                   20     46,176 K
RuntimeBroker.exe            38796 Console                   20     31,092 K
svchost.exe                  35724 Console                   20      9,748 K
RuntimeBroker.exe            25440 Console                   20      3,812 K
PhoneExperienceHost.exe      13332 Console                   20   2,04,348 K
SecurityHealthSystray.exe    38716 Console                   20      4,832 K
RtkAudUService64.exe          5720 Console                   20      5,312 K
OneDrive.exe                   696 Console                   20   3,98,524 K
Perplexity.exe               11620 Console                   20     46,292 K
Perplexity.exe               21444 Console                   20      5,328 K
Discord.exe                  25896 Console                   20     61,208 K
Perplexity.exe               29312 Console                   20     23,400 K
Discord.exe                   8020 Console                   20      5,520 K
Discord.exe                   5776 Console                   20     20,092 K
Discord.exe                  23568 Console                   20     25,884 K
Perplexity.exe               36020 Console                   20     70,876 K
Perplexity.exe               22884 Console                   20     74,664 K
Discord.exe                  35012 Console                   20   1,33,200 K
Perplexity.exe                7584 Console                   20     83,080 K
Discord.exe                  24584 Console                   20     10,948 K
svchost.exe                   4308 Services                   0   1,07,928 K
DiscordSystemHelper.exe      16172 Console                   20      3,552 K
ChatGPT.exe                  26128 Console                   20     52,400 K
DiscordSystemHelper.exe      32780 Console                   20      3,080 K
ChatGPT.exe                  31680 Console                   20      4,724 K
ChatGPT.exe                  30708 Console                   20     27,204 K
ChatGPT.exe                  37288 Console                   20     27,892 K
ChatGPT.exe                  16204 Console                   20   1,68,072 K
Copilot.exe                  30884 Console                   20   3,22,232 K
WhatsApp.Root.exe            26400 Console                   20   1,48,504 K
RuntimeBroker.exe            13664 Console                   20      4,136 K
msedgewebview2.exe           30600 Console                   20     63,564 K
msedgewebview2.exe           29556 Console                   20      3,472 K
msedgewebview2.exe           34040 Console                   20     17,680 K
msedgewebview2.exe           15720 Console                   20     21,964 K
msedgewebview2.exe           16412 Console                   20      4,608 K
msedgewebview2.exe           16728 Console                   20     11,908 K
ShellExperienceHost.exe      32804 Console                   20     72,608 K
RuntimeBroker.exe            34496 Console                   20     24,044 K
dllhost.exe                  20684 Console                   20     14,036 K
dllhost.exe                  33256 Console                   20     10,400 K
dllhost.exe                  14576 Console                   20      7,424 K
RuntimeBroker.exe             4864 Console                   20      5,676 K
msedgewebview2.exe           29100 Console                   20      5,484 K
AppActions.exe               37788 Console                   20     25,440 K
ApplicationFrameHost.exe     15484 Console                   20     41,236 K
UserOOBEBroker.exe           21072 Console                   20      6,408 K
RuntimeBroker.exe            22468 Console                   20      8,380 K
DataExchangeHost.exe         34540 Console                   20     38,068 K
Perplexity.exe               23260 Console                   20   3,53,476 K
dart.exe                      7184 Console                   20     15,580 K
conhost.exe                  29204 Console                   20      3,820 K
adb.exe                       4160 Console                   20      8,244 K
Antigravity.exe              35452 Console                   20   1,69,364 K
Antigravity.exe              15248 Console                   20     12,380 K
Antigravity.exe              17348 Console                   20   2,56,056 K
Antigravity.exe              11744 Console                   20     31,788 K
Antigravity.exe              37976 Console                   20   7,83,320 K
Antigravity.exe              27340 Console                   20     56,460 K
Antigravity.exe              24068 Console                   20     36,324 K
Antigravity.exe              31688 Console                   20     24,328 K
Antigravity.exe              18208 Console                   20     79,136 K
Antigravity.exe              21292 Console                   20     56,072 K
Antigravity.exe              15976 Console                   20     42,816 K
Antigravity.exe              37712 Console                   20     58,864 K
Antigravity.exe              34972 Console                   20   1,92,432 K
cmd.exe                      18420 Console                   20      3,524 K
conhost.exe                  26204 Console                   20      3,436 K
java.exe                     31964 Console                   20     19,856 K
java.exe                     14980 Console                   20     64,412 K
conhost.exe                  21460 Console                   20      5,296 K
bash.exe                     23932 Console                   20      3,020 K
bash.exe                     27344 Console                   20      9,108 K
language_server_windows_x    12880 Console                   20   1,62,060 K
cmd.exe                      18344 Console                   20      3,716 K
conhost.exe                  29836 Console                   20      3,740 K
conhost.exe                  38852 Console                   20      3,244 K
dart.exe                     26832 Console                   20   3,21,264 K
conhost.exe                   5244 Console                   20      3,928 K
dart.exe                     22820 Console                   20     15,440 K
conhost.exe                  13708 Console                   20      4,528 K
dart.exe                     21260 Console                   20     14,244 K
conhost.exe                  36372 Console                   20      3,056 K
dart.exe                      7288 Console                   20      5,428 K
dartvm.exe                   32896 Console                   20     40,196 K
Antigravity.exe              20020 Console                   20     36,864 K
Antigravity.exe               5804 Console                   20     44,104 K
Antigravity.exe              17536 Console                   20   3,55,648 K
Antigravity.exe               5764 Console                   20     31,924 K
svchost.exe                  30156 Services                   0     34,464 K
SearchProtocolHost.exe       31020 Services                   0     30,616 K
backgroundTaskHost.exe         312 Console                   20     58,552 K
RuntimeBroker.exe            21792 Console                   20     29,196 K
Code.exe                      4304 Console                   20   1,75,444 K
Code.exe                     13860 Console                   20     19,700 K
Code.exe                     16692 Console                   20   1,39,832 K
Code.exe                     15640 Console                   20     37,200 K
Code.exe                     33104 Console                   20   1,00,208 K
Code.exe                     31364 Console                   20   1,32,552 K
Code.exe                     31976 Console                   20   3,23,844 K
SystemSettings.exe           36544 Console                   20      3,408 K
svchost.exe                  20956 Console                   20     13,780 K
M365Copilot.exe               9304 Console                   20   1,09,656 K
RuntimeBroker.exe             5672 Console                   20     13,360 K
msedgewebview2.exe           34676 Console                   20     13,136 K
msedgewebview2.exe           30992 Console                   20      9,300 K
msedgewebview2.exe           24256 Console                   20      5,548 K
msedgewebview2.exe           28616 Console                   20      5,168 K
msedgewebview2.exe            9788 Console                   20      2,120 K
msedgewebview2.exe           27476 Console                   20      3,072 K
conhost.exe                  10244 Console                   20      7,868 K
bash.exe                     27720 Console                   20      6,872 K
bash.exe                     14452 Console                   20     13,104 K
conhost.exe                  27244 Console                   20      7,724 K
bash.exe                     11776 Console                   20      6,748 K
bash.exe                     33564 Console                   20     12,960 K
mc-neo-host.exe              10648 Services                   0     33,104 K
mmc.exe                      18576 Console                   20     55,840 K
mongod.exe                   18200 Services                   0     76,488 K
Antigravity.exe              32904 Console                   20     55,728 K
FileCoAuth.exe               37036 Console                   20     31,488 K
SearchFilterHost.exe         33888 Services                   0     11,128 K
msedge.exe                   13764 Console                   20   1,47,540 K
msedge.exe                   15556 Console                   20     10,040 K
msedge.exe                   20960 Console                   20     70,756 K
msedge.exe                    8456 Console                   20     43,716 K
msedge.exe                    6652 Console                   20     20,672 K
MongoDBCompass.exe           22116 Console                   20   1,45,644 K
MongoDBCompass.exe           34900 Console                   20     38,236 K
MongoDBCompass.exe           36580 Console                   20   1,40,728 K
MongoDBCompass.exe           34704 Console                   20     57,324 K
MongoDBCompass.exe           13316 Console                   20   1,82,668 K
Code.exe                     33544 Console                   20   1,30,928 K
Code.exe                     15056 Console                   20   5,64,376 K
conhost.exe                   2784 Console                   20      8,512 K
bash.exe                      7240 Console                   20      7,800 K
bash.exe                     22600 Console                   20     13,640 K
codex.exe                    22540 Console                   20     34,508 K
conhost.exe                   9228 Console                   20      7,416 K
Code.exe                     35856 Console                   20   1,14,260 K
Code.exe                     33136 Console                   20   1,90,212 K
cloudcode_cli.exe            16044 Console                   20     96,292 K
conhost.exe                  12792 Console                   20      7,372 K
pet.exe                      21164 Console                   20      8,376 K
conhost.exe                  23956 Console                   20      7,340 K
conhost.exe                  15428 Console                   20      8,476 K
pet.exe                      20068 Console                   20      8,316 K
conhost.exe                  24408 Console                   20      7,364 K
bash.exe                     35836 Console                   20      7,772 K
bash.exe                     24112 Console                   20     13,468 K
Code.exe                     11732 Console                   20   3,69,804 K
conhost.exe                  26200 Console                   20      8,576 K
bash.exe                     28628 Console                   20      7,832 K
bash.exe                     21472 Console                   20     13,804 K
bash.exe                     10084 Console                   20     10,856 K
cmd.exe                      26216 Console                   20      7,164 K
dart.exe                     33048 Console                   20     11,796 K
dartvm.exe                   13272 Console                   20   2,75,816 K
dartaotruntime.exe           21536 Console                   20   6,95,056 K
conhost.exe                  19796 Console                   20      7,444 K
chrome.exe                   18548 Console                   20   1,78,828 K
chrome.exe                   25856 Console                   20      9,824 K
chrome.exe                   12036 Console                   20   1,66,376 K
chrome.exe                   26784 Console                   20     45,860 K
chrome.exe                   20552 Console                   20     19,500 K
chrome.exe                   34596 Console                   20     29,808 K
chrome.exe                   33144 Console                   20   3,39,452 K
dartaotruntime.exe           34868 Console                   20     30,720 K
conhost.exe                  26244 Console                   20      7,416 K
svchost.exe                  32052 Services                   0     10,100 K
audiodg.exe                   8716 Services                   0     22,964 K
SearchFilterHost.exe         34576 Services                   0     14,092 K
svchost.exe                   7640 Services                   0     11,224 K
Code.exe                      3636 Console                   20   1,16,568 K
Code.exe                     14368 Console                   20   1,17,980 K
sh.exe                       36188 Console                   20     10,736 K
node.exe                     19304 Console                   20     50,576 K
node.exe                     26024 Console                   20     72,188 K
sppsvc.exe                   15488 Services                   0     16,796 K
bash.exe                     38388 Console                   20     10,792 K
tasklist.exe                 16624 Console                   20     13,396 K
WmiPrvSE.exe                 33488 Services                   0     15,772 K
